ID	Label	Type	hasConstraint	involvesAtom1	involvesAtom2	involvesAtom3	involvesAtom4	targetValue	hasUnit	constraintMode	forceConstant
ex:constraint_caa004f_d3	Distance constraint caa004f	ex:DistanceConstraint		ex:atom_8	ex:atom_13			3	gc:angstrom	fixed	
ex:exp_caa004f	Experiment caa004f	gc:MolecularComputation	ex:constraint_caa004f_d3								
ex:constraint_caa004g_d1	Distance constraint caa004g	ex:DistanceConstraint		ex:atom_7	ex:atom_3			1.6	gc:angstrom	fixed	
ex:exp_caa004g	Experiment caa004g	gc:MolecularComputation	ex:constraint_caa004g_d1								
ex:constraint_caa004g_d2	Distance constraint caa004g	ex:DistanceConstraint		ex:atom_10	ex:atom_7			2	gc:angstrom	fixed	
ex:exp_caa004g	Experiment caa004g	gc:MolecularComputation	ex:constraint_caa004g_d2								
ex:constraint_caa004g_d3	Distance constraint caa004g	ex:DistanceConstraint		ex:atom_8	ex:atom_13			2	gc:angstrom	fixed	
ex:exp_caa004g	Experiment caa004g	gc:MolecularComputation	ex:constraint_caa004g_d3								
ex:constraint_caa004h_d1	Distance constraint caa004h	ex:DistanceConstraint		ex:atom_7	ex:atom_3			1.8	gc:angstrom	fixed	
ex:exp_caa004h	Experiment caa004h	gc:MolecularComputation	ex:constraint_caa004h_d1								
ex:constraint_caa004h_d2	Distance constraint caa004h	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.8	gc:angstrom	fixed	
ex:exp_caa004h	Experiment caa004h	gc:MolecularComputation	ex:constraint_caa004h_d2								
ex:constraint_caa004h_d3	Distance constraint caa004h	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.8	gc:angstrom	fixed	
ex:exp_caa004h	Experiment caa004h	gc:MolecularComputation	ex:constraint_caa004h_d3								
ex:constraint_caa004j_d1	Distance constraint caa004j	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.6	gc:angstrom	fixed	
ex:exp_caa004j	Experiment caa004j	gc:MolecularComputation	ex:constraint_caa004j_d1								
ex:constraint_caa004j_d2	Distance constraint caa004j	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.6	gc:angstrom	fixed	
ex:exp_caa004j	Experiment caa004j	gc:MolecularComputation	ex:constraint_caa004j_d2								
ex:constraint_caa004k_d1	Distance constraint caa004k	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.6	gc:angstrom	fixed	
ex:exp_caa004k	Experiment caa004k	gc:MolecularComputation	ex:constraint_caa004k_d1								
ex:constraint_caa004k_d2	Distance constraint caa004k	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.6	gc:angstrom	fixed	
ex:exp_caa004k	Experiment caa004k	gc:MolecularComputation	ex:constraint_caa004k_d2								
ex:constraint_caa004l_d1	Distance constraint caa004l	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.4	gc:angstrom	fixed	
ex:exp_caa004l	Experiment caa004l	gc:MolecularComputation	ex:constraint_caa004l_d1								
ex:constraint_caa004l_d2	Distance constraint caa004l	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.4	gc:angstrom	fixed	
ex:exp_caa004l	Experiment caa004l	gc:MolecularComputation	ex:constraint_caa004l_d2								
ex:constraint_caa004m_d1	Distance constraint caa004m	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.2	gc:angstrom	fixed	
ex:exp_caa004m	Experiment caa004m	gc:MolecularComputation	ex:constraint_caa004m_d1								
ex:constraint_caa004m_d2	Distance constraint caa004m	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.2	gc:angstrom	fixed	
ex:exp_caa004m	Experiment caa004m	gc:MolecularComputation	ex:constraint_caa004m_d2								
ex:constraint_caa005a_d1	Distance constraint caa005a	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.2	gc:angstrom	fixed	
ex:exp_caa005a	Experiment caa005a	gc:MolecularComputation	ex:constraint_caa005a_d1								
ex:constraint_caa005a_d2	Distance constraint caa005a	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.2	gc:angstrom	fixed	
ex:exp_caa005a	Experiment caa005a	gc:MolecularComputation	ex:constraint_caa005a_d2								
ex:constraint_caa005b_d1	Distance constraint caa005b	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.2	gc:angstrom	fixed	
ex:exp_caa005b	Experiment caa005b	gc:MolecularComputation	ex:constraint_caa005b_d1								
ex:constraint_caa005b_d2	Distance constraint caa005b	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.2	gc:angstrom	fixed	
ex:exp_caa005b	Experiment caa005b	gc:MolecularComputation	ex:constraint_caa005b_d2								
